source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
DR0224-25A000064,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69537 and invoice_no = 'DR0224-25A000064' and status = 'StockHidden';
U0301-25A0000016,th214,th301,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1028831 and invoice_no = 'U0301-25A0000016' and status = 'StockHidden';
DR0405-25A000071,th427,th405,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 181800 and invoice_no = 'DR0405-25A000071' and status = 'StockHidden';
U0224-25A0000019,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68970 and invoice_no = 'U0224-25A0000019' and status = 'StockHidden';
PD0429-25A000661,th401,th429,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 50245 and invoice_no = 'PD0429-25A000661' and status = 'StockHidden';
U0224-25A0000074,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70234 and invoice_no = 'U0224-25A0000074' and status = 'StockHidden';
DR0224-25A000529,th401,th224,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 56993 and invoice_no = 'DR0224-25A000529' and status = 'StockHidden';
U0428-25A0000012,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69279 and invoice_no = 'U0428-25A0000012' and status = 'StockHidden';
DR0224-25A000101,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70407 and invoice_no = 'DR0224-25A000101' and status = 'StockHidden';
DR0224-25A000055,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69519 and invoice_no = 'DR0224-25A000055' and status = 'StockHidden';
PD0406-25A000699,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69077 and invoice_no = 'PD0406-25A000699' and status = 'StockHidden';
PD0224-25A004369,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68695 and invoice_no = 'PD0224-25A004369' and status = 'StockHidden';
P0402-25A0000085,th411,th402,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 194971 and invoice_no = 'P0402-25A0000085' and status = 'StockHidden';
DR0428-25A000048,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69608 and invoice_no = 'DR0428-25A000048' and status = 'StockHidden';
PD0424-25A000128,th430,th424,UPDATE th430.inward_invoice SET status = 'CANCELLED' WHERE id = 30862 and invoice_no = 'PD0424-25A000128' and status = 'StockHidden';
U0224-25A0000059,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70227 and invoice_no = 'U0224-25A0000059' and status = 'StockHidden';
P0429-25A0000045,th435,th429,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 62843 and invoice_no = 'P0429-25A0000045' and status = 'StockHidden';
DR0413-25A000891,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1035686 and invoice_no = 'DR0413-25A000891' and status = 'StockHidden';
DR0224-25A000107,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70417 and invoice_no = 'DR0224-25A000107' and status = 'StockHidden';
U0428-25A0000078,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69563 and invoice_no = 'U0428-25A0000078' and status = 'StockHidden';
U0224-25A0000027,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69009 and invoice_no = 'U0224-25A0000027' and status = 'StockHidden';
PD0406-25A000645,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68985 and invoice_no = 'PD0406-25A000645' and status = 'StockHidden';
U0428-25A0000028,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69326 and invoice_no = 'U0428-25A0000028' and status = 'StockHidden';
DR0413-25A000967,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1041351 and invoice_no = 'DR0413-25A000967' and status = 'StockHidden';
PD0407-25A000576,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69248 and invoice_no = 'PD0407-25A000576' and status = 'StockHidden';
PD0407-25A000580,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69254 and invoice_no = 'PD0407-25A000580' and status = 'StockHidden';
PD0408-25A000837,th223,th408,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68399 and invoice_no = 'PD0408-25A000837' and status = 'StockHidden';
