skull_namespace,invoice_no,statuses,created_ons,created_by,total_count
th427,DR0405-25A000012,StockHidden,"2025-07-28 16:24:50, 2025-07-24 10:59:57","660cd962-fe79-419e-8a7f-00300591f711,3fffe9b6-ca14-4fe5-b817-c22334ac62d9",2
th411,PD0408-25A000780,"StockHidden, live","2025-06-20 09:13:46, 2025-06-20 09:13:42","9d1b0ad2-378d-4a9f-a308-fd42907db31e,ajay",2
th223,PD0224-25A004375,StockHidden,"2025-07-24 07:20:52, 2025-07-23 15:07:37",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000079,StockHidden,"2025-07-24 07:21:59, 2025-07-23 15:10:26",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th411,P0408-25A0000055,live,"2025-06-06 06:00:39, 2025-06-20 12:28:33",sathish B,2
th223,DR0224-25A000076,StockHidden,"2025-07-24 07:21:57, 2025-07-23 15:10:22",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004158,StockHidden,"2025-07-24 07:20:33, 2025-07-23 15:06:58",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004403,StockHidden,"2025-07-24 07:21:00, 2025-07-23 15:07:58",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th429,DR0214-25A002389,StockHidden,"2025-07-30 09:13:36, 2025-07-30 12:22:27","bca43add-5e7d-4187-8ccf-160ea369a115,5f94fd12-c5f7-4da4-805f-361b849841e1",2
th401,PD0413-25A003122,StockHidden,"2025-07-24 07:20:55, 2025-07-23 15:07:42",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th428,DR0224-25A000455,StockHidden,"2025-07-28 13:15:04, 2025-08-16 09:13:42","ed817790-a0dd-4273-8901-b52f35b1bbcb,a8f42abb-f2b9-4792-8fd2-f7e42dfc01f0",2
th223,DR0224-25A000244,StockHidden,"2025-07-24 07:24:34, 2025-07-23 15:15:49",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000239,StockHidden,"2025-07-24 07:24:31, 2025-07-23 15:15:42",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th413,PD0214-25A006815,StockHidden,"2025-07-24 07:21:34, 2025-07-23 15:09:18",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th401,P0413-25A0000172,"StockHidden, live","2025-07-24 07:21:50, 2025-07-23 15:10:02","3fffe9b6-ca14-4fe5-b817-c22334ac62d9,Himanshu Negi",2
th223,DR0224-25A000189,StockHidden,"2025-07-24 07:22:54, 2025-07-23 15:13:50",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,P0214-25A0001267,live,"2025-08-01 07:24:02, 2025-08-01 07:24:21",152753ca-2d1b-4e71-ac34-0a700128f384,2
th223,PD0224-25A004062,StockHidden,"2025-07-24 07:20:21, 2025-07-23 15:06:27",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th210,D23T214/11570,StockHidden,"2025-07-23 08:42:16, 2025-07-23 12:13:09",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000030,StockHidden,"2025-07-24 07:21:44, 2025-07-23 15:09:42",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000181,StockHidden,"2025-07-24 07:22:50, 2025-07-23 15:13:43",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
