dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th418,th214,836723,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836728,1038490,EA-25-127123,PURCHASE_RETURN,,False,dormant
th418,th214,836727,1052012,118322-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836729,1039051,EA-25-127073,PURCHASE_RETURN,,False,dormant
th413,th214,836730,1041930,110256-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836731,1041930,110256-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836732,1052172,118481-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836734,1069596,115637-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836735,998052,T0213-25A0000720,PURCHASE_RETURN,,False,dormant
th421,th214,836733,1052012,118322-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836736,1038143,EA-25-127166,PURCHASE_RETURN,,False,dormant
th417,th214,836744,883923,1401051717,PURCHASE_RETURN,,False,dormant
th413,th214,837721,736481,T0426-24A0000653,PURCHASE_RETURN,,False,dormant
th413,th214,837722,1006211,T0213-25A0001747,PURCHASE_RETURN,,False,dormant
th421,th214,837723,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th421,th214,837729,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th421,th214,837728,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
th413,th214,837741,1034853,92266-SR,PURCHASE_RETURN,,False,dormant
th413,th214,837742,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th418,th214,841979,1073454,135617-SR,PURCHASE_RETURN,,False,dormant
th418,th214,841980,1071181,113528-SR,PURCHASE_RETURN,,False,dormant
th435,th214,846533,1069525,114717-SR,PURCHASE_RETURN,,False,dormant
th224,th223,2638,66842,25-26/00137,PURCHASE_RETURN,,False,dormant
th223,th224,729696,828094,AUDIT-9239,REGULAR,,False,DISPATCH_READY
th223,th224,730509,828584,AUDIT-8170,REGULAR,,False,DISPATCH_READY
th223,th224,709974,820261,AUDIT-1074,REGULAR,,False,DISPATCH_READY
th427,th224,726946,825835,AUDIT-1537,REGULAR,,False,DISPATCH_READY
th223,th224,710905,820708,AUDIT-1080,REGULAR,,False,DISPATCH_READY
th223,th224,712197,822360,AUDIT-9021,REGULAR,,False,DISPATCH_READY
th223,th224,712217,822667,AUDIT-9019,REGULAR,,False,DISPATCH_READY
th223,th224,717863,823912,AUDIT-9084,REGULAR,,False,DISPATCH_READY
th223,th224,732751,829363,AUDIT-8418,REGULAR,,False,DISPATCH_READY
th223,th224,732734,829225,AUDIT-1597,REGULAR,,False,DISPATCH_READY
th407,th224,766760,820269,T0223-25A0000331,PURCHASE_RETURN,,False,DISPATCH_READY
th407,th224,766762,822984,T0223-25A0000631,PURCHASE_RETURN,,False,DISPATCH_READY
th407,th224,767605,760901,DL0123525444,PURCHASE_RETURN,,False,DISPATCH_READY
th223,th224,732876,829740,AUDIT-8439,REGULAR,,False,DISPATCH_READY
th437,th224,768948,706994,MYP-24-207581,REGULAR,th224,True,READY_FOR_RACKING
th437,th224,768394,655657,MYP-24-68196,REGULAR,th224,True,READY_FOR_RACKING
th437,th224,769707,845248,T0428-25A0000050,REGULAR,,False,READY_FOR_RACKING
th437,th224,769670,845295,T0427-25A0015642,REGULAR,,False,READY_FOR_RACKING
th437,th224,769725,843349,T0223-25A0002801,REGULAR,,False,READY_FOR_RACKING
th437,th224,769788,843792,T0427-25A0014860,REGULAR,,False,READY_FOR_RACKING
th437,th224,771039,694406,MYP-24-193300,REGULAR,th224,True,READY_FOR_RACKING
th425,th224,773325,718205,A-24-004482,REGULAR,th224,True,READY_FOR_RACKING
th437,th224,771393,695501,MYP-24-192543,REGULAR,th224,True,READY_FOR_RACKING
th437,th224,771395,635799,MYP-23-466674,REGULAR,th224,True,READY_FOR_RACKING
th437,th224,771048,594352,MYP-23-287026,REGULAR,th224,True,READY_FOR_RACKING
th401,th224,773362,717483,3194326106,REGULAR,th224,True,READY_FOR_RACKING
th424,th224,773368,817127,3194341360,REGULAR,th224,True,READY_FOR_RACKING
th424,th224,773367,821095,3194343262,REGULAR,th224,True,READY_FOR_RACKING
th428,th224,773365,701576,3194322042,REGULAR,th224,True,READY_FOR_RACKING
th405,th224,773363,712785,3194324682,REGULAR,th224,True,READY_FOR_RACKING
th424,th224,773369,734463,3194332680,REGULAR,th224,True,READY_FOR_RACKING
th428,th224,773378,712866,3402295822,REGULAR,th224,True,READY_FOR_RACKING
th424,th224,773370,809797,3194338707,REGULAR,th224,True,READY_FOR_RACKING
th428,th224,773364,725369,3194329237,REGULAR,th224,True,READY_FOR_RACKING
th405,th224,773605,836460,T0427-25A0010310,PURCHASE_RETURN,th224,True,READY_FOR_RACKING
th428,th224,773608,837386,T0427-25A0011160,PURCHASE_RETURN,th224,True,READY_FOR_RACKING
th401,th224,773800,729768,4304166996,REGULAR,th224,True,READY_FOR_RACKING
th405,th224,773801,657528,4304139945,REGULAR,th224,True,READY_FOR_RACKING
th407,th224,773380,698838,3402292350,REGULAR,th224,True,READY_FOR_RACKING
th429,th224,773802,703700,4304157187,REGULAR,th224,True,READY_FOR_RACKING
th407,th224,773617,836728,T0427-25A0010540,PURCHASE_RETURN,th224,True,READY_FOR_RACKING
th401,th224,773603,837803,T0427-25A0011686,PURCHASE_RETURN,th224,True,READY_FOR_RACKING
th428,th224,773804,703606,4304155242,REGULAR,th224,True,READY_FOR_RACKING
th405,th224,773803,729768,4304166996,REGULAR,th224,True,READY_FOR_RACKING
th401,th224,773849,730262,IN0724003413,REGULAR,th224,True,READY_FOR_RACKING
th428,th224,778414,840484,20425-SR,PURCHASE_RETURN,,False,DISPATCH_READY
th428,th224,778410,819612,T0223-25A0000256,PURCHASE_RETURN,,False,dormant
th405,th224,773805,725168,4304164726,REGULAR,th224,True,READY_FOR_RACKING
th428,th224,779934,818691,241412154448,PURCHASE_RETURN,,False,DISPATCH_READY
th407,th224,781186,844063,21871-SR,PURCHASE_RETURN,,False,DISPATCH_READY
th428,th224,779932,880358,7123000768,PURCHASE_RETURN,,False,DISPATCH_READY
th407,th224,781255,818095,T0223-25A0000036,PURCHASE_RETURN,,False,dormant
th407,th224,794575,909965,GGCINV2512213,PURCHASE_RETURN,,False,DISPATCH_READY
th425,th224,794574,867934,290923745,PURCHASE_RETURN,,False,DISPATCH_READY
th425,th224,794732,873297,3853014058,PURCHASE_RETURN,,False,DISPATCH_READY
th205,th224,796322,851621,DR0205-25A000028,REGULAR,,False,DISPATCH_READY
th407,th224,796125,851728,PD0407-25A000555,REGULAR,,False,DISPATCH_READY
th407,th224,796123,851728,PD0407-25A000555,REGULAR,,False,DISPATCH_READY
th407,th224,796325,921360,DR0407-25A000013,REGULAR,,False,DISPATCH_READY
th407,th224,796327,921360,DR0407-25A000013,REGULAR,,False,DISPATCH_READY
th407,th224,796414,835805,T0224-25A0003397,REGULAR,,False,DISPATCH_READY
th407,th224,796418,835806,T0224-25A0005261,REGULAR,,False,DISPATCH_READY
th407,th224,796416,835815,T0224-25A0004460,REGULAR,,False,DISPATCH_READY
th407,th224,796420,835810,T0224-25A0004415,REGULAR,,False,DISPATCH_READY
th407,th224,796423,830405,T0224-24A0024788,REGULAR,,False,DISPATCH_READY
th407,th224,796425,830417,T0224-24A0024851,REGULAR,,False,DISPATCH_READY
th407,th224,796430,851728,PD0407-25A000555,REGULAR,,False,READY_FOR_RACKING
th407,th224,796427,830423,T0224-24A0026438,REGULAR,,False,DISPATCH_READY
th407,th224,796432,921359,P0407-25A0000073,REGULAR,,False,DISPATCH_READY
th407,th224,796434,921358,DR0407-25A000012,REGULAR,,False,DISPATCH_READY
th407,th224,796438,921358,DR0407-25A000012,REGULAR,,False,DISPATCH_READY
th405,th224,796460,813385,T0224-24A0024607,REGULAR,,False,READY_FOR_RACKING
th405,th224,796461,922436,P0405-25A0000064,REGULAR,,False,DISPATCH_READY
th425,th224,796476,831977,T0224-24A0036571,REGULAR,,False,DISPATCH_READY
th401,th224,796473,924411,DR0401-25A000017,REGULAR,,False,DISPATCH_READY
th425,th224,796479,831968,T0224-24A0035090,REGULAR,,False,DISPATCH_READY
th425,th224,796480,831974,T0224-25A0004150,REGULAR,,False,DISPATCH_READY
th425,th224,796481,831970,T0224-25A0004180,REGULAR,,False,DISPATCH_READY
th425,th224,796482,831971,T0224-25A0004272,REGULAR,,False,DISPATCH_READY
th425,th224,796484,837816,T0224-24A0035386,REGULAR,,False,DISPATCH_READY
th425,th224,796486,831969,T0224-25A0004744,REGULAR,,False,READY_FOR_RACKING
th424,th224,796617,815032,T0224-24A0030588,REGULAR,,False,READY_FOR_RACKING
th424,th224,796616,819865,T0224-24A0036032,REGULAR,,False,READY_FOR_RACKING
th428,th224,797002,827435,T0224-24A0034953,REGULAR,,False,READY_FOR_RACKING
th428,th224,797004,851357,PD0428-25A001352,REGULAR,,False,DISPATCH_READY
th428,th224,797005,853555,P0428-25A0000512,REGULAR,,False,DISPATCH_READY
th428,th224,797006,828063,T0224-24A0034273,REGULAR,,False,DISPATCH_READY
th428,th224,797008,924038,PD0428-25A001351,REGULAR,,False,RACKING_IN_PROGRESS
th428,th224,797009,850220,P0428-25A0000505,REGULAR,,False,DISPATCH_READY
th406,th224,797013,847891,P0406-25A0000539,REGULAR,,False,READY_FOR_RACKING
th406,th224,797014,847891,P0406-25A0000539,REGULAR,,False,READY_FOR_RACKING
th401,th224,797129,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
th401,th224,797131,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
th401,th224,797136,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
th401,th224,797134,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
th401,th224,797133,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
th401,th224,797138,921263,DR0401-25A000016,REGULAR,,False,DISPATCH_READY
